,team,opponent,away_wins,away_losses
504,New Orleans Pelicans,Indiana Pacers,1,4
505,New Orleans Pelicans,Los Angeles Clippers,3,7
506,New Orleans Pelicans,Los Angeles Lakers,5,4
507,New Orleans Pelicans,Memphis Grizzlies,4,8
508,New Orleans Pelicans,Miami Heat,2,4
509,New Orleans Pelicans,Milwaukee Bucks,4,2
510,New Orleans Pelicans,Minnesota Timberwolves,4,7
511,New Orleans Pelicans,New York Knicks,3,3
512,New Orleans Pelicans,Oklahoma City Thunder,3,7
513,New Orleans Pelicans,Orlando Magic,1,4
514,New Orleans Pelicans,Philadelphia 76ers,2,4
515,New Orleans Pelicans,Phoenix Suns,5,4
516,New Orleans Pelicans,Portland Trail Blazers,2,10
517,New Orleans Pelicans,Sacramento Kings,7,4
518,New Orleans Pelicans,San Antonio Spurs,2,10
519,New Orleans Pelicans,Toronto Raptors,2,4
520,New Orleans Pelicans,Utah Jazz,3,6
521,New Orleans Pelicans,Washington Wizards,0,6
522,New York Knicks,Atlanta Hawks,6,6
523,New York Knicks,Brooklyn Nets,6,8
524,New York Knicks,Boston Celtics,6,8
525,New York Knicks,Charlotte Hornets,3,10
526,New York Knicks,Chicago Bulls,2,9
527,New York Knicks,Cleveland Cavaliers,6,7
528,New York Knicks,Dallas Mavericks,3,4
529,New York Knicks,Denver Nuggets,0,7
530,New York Knicks,Detroit Pistons,3,9
531,New York Knicks,Golden State Warriors,1,6
532,New York Knicks,Houston Rockets,1,5
533,New York Knicks,Indiana Pacers,1,11
534,New York Knicks,Los Angeles Clippers,0,6
535,New York Knicks,Los Angeles Lakers,4,3
536,New York Knicks,Memphis Grizzlies,1,6
537,New York Knicks,Miami Heat,5,7
538,New York Knicks,Milwaukee Bucks,4,9
539,New York Knicks,Minnesota Timberwolves,4,2
540,New York Knicks,New Orleans Pelicans,2,4
541,New York Knicks,Oklahoma City Thunder,2,5
542,New York Knicks,Orlando Magic,7,5
